MMSI,start_timestamp,start_lat,start_lon,pred_lat_1h,pred_lon_1h,rf_pred_lat_1h,rf_pred_lon_1h,dead_reckoning_pred_lat_1h,dead_reckoning_pred_lon_1h,rf_weight_1h,prediction_method_1h,pred_lat_2h,pred_lon_2h,rf_pred_lat_2h,rf_pred_lon_2h,dead_reckoning_pred_lat_2h,dead_reckoning_pred_lon_2h,rf_weight_2h,prediction_method_2h,pred_lat_3h,pred_lon_3h,rf_pred_lat_3h,rf_pred_lon_3h,dead_reckoning_pred_lat_3h,dead_reckoning_pred_lon_3h,rf_weight_3h,prediction_method_3h,mean_error_km,generated_at
111219510,2026-01-10 17:00:00,55.220238,9.288587,55.099305940206854,9.516178306904914,55.16704200166962,9.547923275369222,55.09177971115543,9.512651088186658,0.1,rf_dead_reckoning_blend,55.0969983994958,9.618416346648267,55.169198313996716,9.555490985085378,54.96291284399412,9.735277732407923,0.65,rf_dead_reckoning_blend,55.11984436626155,9.627398598245012,55.17035067379486,9.569325677734636,54.83364195690617,9.95647848113714,0.8500000000000001,rf_dead_reckoning_blend,3.1091375624759188,2026-04-27T12:49:49.579948+00:00
111219516,2026-01-09 17:00:00,55.591095,12.118598,55.523729709297484,12.533561913484856,55.42193878682177,12.198944649558015,55.53503981179478,12.570741609476727,0.1,rf_dead_reckoning_blend,55.44831401930826,12.498686025834612,55.43269290426459,12.217128221207753,55.47732466153223,13.021579091570203,0.65,rf_dead_reckoning_blend,55.444976158471626,12.469878154794705,55.44974407288309,12.293195608033198,55.41795797680667,13.471079253109906,0.8500000000000001,rf_dead_reckoning_blend,3.1091375624759188,2026-04-27T12:49:49.579948+00:00
111265586,2026-01-10 19:00:00,57.71956,11.92305,57.437491075658826,11.447963881525736,57.70987402938438,11.921743711498609,57.407226303022654,11.395321678195415,0.1,rf_dead_reckoning_blend,57.493086074604676,11.532126990321228,57.70866563830673,11.88513157550663,57.092724027729446,10.876547046405477,0.65,rf_dead_reckoning_blend,57.5712517511078,11.646584882277784,57.71156992401783,11.872477212819465,56.77611543795097,10.366528342541585,0.8500000000000001,rf_dead_reckoning_blend,3.1091375624759188,2026-04-27T12:49:49.579948+00:00
200000000,2026-01-06 11:00:00,57.125473,8.5977335,57.0599568306772,8.591424821818936,57.163995174757716,8.571672042856388,57.048397014668254,8.593619575036996,0.1,rf_dead_reckoning_blend,57.12215634149329,8.540874120487127,57.20337542802766,8.51467873687268,56.971320895072296,8.58952269005681,0.65,rf_dead_reckoning_blend,57.18688927127498,8.480198901107974,57.23853244111867,8.461626461650313,56.894244642160714,8.58544272470138,0.8500000000000001,rf_dead_reckoning_blend,3.1091375624759188,2026-04-27T12:49:49.579948+00:00
203247191,2026-01-09 10:00:00,54.79381,9.434045,54.78424736879517,9.41973765265782,54.801992696185394,9.440403918674619,54.78227566575181,9.417441400878175,0.1,rf_dead_reckoning_blend,54.79181117223753,9.429927563466874,54.803157691015464,9.445586182825561,54.77073906593564,9.400847270372168,0.65,rf_dead_reckoning_blend,54.79648092985814,9.443004624555542,54.803059881690025,9.453370864024784,54.759200202810796,9.384262600896506,0.8500000000000001,rf_dead_reckoning_blend,3.1091375624759188,2026-04-27T12:49:49.579948+00:00
205011000,2026-01-01 04:00:00,54.54904,13.746574,54.46418963283454,13.844100384876086,54.63856518390122,13.913583885884776,54.44481457160491,13.83637999587512,0.1,rf_dead_reckoning_blend,54.51946993082508,13.984180319498606,54.61582602950765,14.015653631193056,54.340522890414576,13.925729883494625,0.65,rf_dead_reckoning_blend,54.54754978626477,14.101485820033982,54.6024999464242,14.116813770988509,54.2361655453613,14.014627431291672,0.8500000000000001,rf_dead_reckoning_blend,3.1091375624759188,2026-04-27T12:49:49.579948+00:00
205125000,2026-01-07 23:00:00,58.483707,10.211745,58.51990140710448,10.266443101460514,58.20272896507176,10.289420312357764,58.555142789552555,10.263890078027487,0.1,rf_dead_reckoning_blend,58.31654849121008,10.380447679489944,58.14962063278161,10.415016627692868,58.626557371148664,10.316248204255942,0.65,rf_dead_reckoning_blend,58.1830947145523,10.528147849924352,58.09223779389589,10.556264390506708,58.69795059827194,10.368820786624326,0.8500000000000001,rf_dead_reckoning_blend,3.1091375624759188,2026-04-27T12:49:49.579948+00:00
205168000,2026-01-09 12:00:00,55.561825,15.892702,55.55448917933734,15.992256878110165,55.57434957038829,15.662317164431007,55.552282469220565,16.028916846296738,0.1,rf_dead_reckoning_blend,55.55808240360092,15.834388172283747,55.56642503008287,15.656331398090652,55.542588954420175,16.165065038642354,0.65,rf_dead_reckoning_blend,55.5545650783009,15.733014227481966,55.55841575363054,15.632755751908316,55.532744584766235,16.30114558906598,0.8500000000000001,rf_dead_reckoning_blend,3.1091375624759188,2026-04-27T12:49:49.579948+00:00
205196000,2026-01-10 23:00:00,54.638573,11.382236,54.63840074988309,11.38249595066732,54.63685049883084,11.384835506673134,54.63857300000001,11.382236000000006,0.1,rf_dead_reckoning_blend,54.637340303929285,11.383824157235708,54.636676544506585,11.384679318824162,54.63857300000001,11.382236000000006,0.65,rf_dead_reckoning_blend,54.63676138706599,11.384169824642987,54.63644169066587,11.384511087815278,54.63857300000001,11.382236000000006,0.8500000000000001,rf_dead_reckoning_blend,3.1091375624759188,2026-04-27T12:49:49.579948+00:00
205198000,2026-01-04 21:00:00,56.710346,7.496229,56.71292432513642,7.237628684360931,56.71033998745537,7.543838418197457,56.71321147376765,7.203605380601317,0.1,rf_dead_reckoning_blend,56.70990562530946,7.324070990192257,56.706951856864805,7.546524785907098,56.715391195278094,6.910942512436122,0.65,rf_dead_reckoning_blend,56.70569117250606,7.417750426413216,56.70371578621041,7.558838549825093,56.716885028181416,6.618251060412575,0.8500000000000001,rf_dead_reckoning_blend,3.1091375624759188,2026-04-27T12:49:49.579948+00:00
