MMSI,first_timestamp,last_timestamp,point_count,duration_hours,start_lat,start_lon,end_lat,end_lon,mean_lat,mean_lon,std_lat,std_lon,min_lat,max_lat,min_lon,max_lon,mean_sog,std_sog,max_sog,slow_point_ratio,mean_cog_sin,mean_cog_cos,width,length,draught,shiptype,total_distance_km,displacement_km,straightness_ratio,bearing_sin,bearing_cos,early_point_count,early_duration_hours,early_start_lat,early_start_lon,early_observed_lat,early_observed_lon,early_mean_lat,early_mean_lon,early_std_lat,early_std_lon,early_min_lat,early_max_lat,early_min_lon,early_max_lon,early_mean_sog,early_std_sog,early_max_sog,early_slow_point_ratio,early_mean_cog_sin,early_mean_cog_cos,early_total_distance_km,early_displacement_km,early_straightness_ratio,early_bearing_sin,early_bearing_cos,route_label
111219510,2026-01-10 14:00:00,2026-01-10 17:00:00,4,3.0,55.2214,9.287381,55.220238,9.288587,55.164137749999995,9.544725374999999,0.07547637592112816,0.2964927008425701,55.036976,55.2214,9.287381,10.0111885,9.282775,5.546864738399252,14.679232,0.25,0.3207114387990694,-0.2590042611468336,5.0,20.0,5.08871,0.0,101.12635267018544,0.15015366570016703,0.0014848124325207276,0.5094415224925941,-0.8605052789846368,4,3.0,55.2214,9.287381,55.220238,9.288587,55.164137749999995,9.544725374999999,0.07547637592112816,0.2964927008425701,55.036976,55.2214,9.287381,10.0111885,9.282775,5.546864738399252,14.679232,0.25,0.3207114387990694,-0.2590042611468336,101.12635267018544,0.15015366570016703,0.0014848124325207276,0.5094415224925941,-0.8605052789846368,route_08
111219516,2026-01-09 14:00:00,2026-01-09 17:00:00,4,3.0,55.589703,12.1245985,55.591095,12.118598,55.391386999999995,11.725664624999999,0.2292977729154835,0.4532217876091921,55.031307,55.591095,11.017827,12.1245985,26.8107385,10.055387188193814,41.744446,0.0,0.8344345811706915,-0.45753841725660255,5.0,20.0,5.191768,0.0,196.83647165892353,0.40758666196220333,0.0020706866899568585,-0.9250702095813143,0.37979613919204525,4,3.0,55.589703,12.1245985,55.591095,12.118598,55.391386999999995,11.725664624999999,0.2292977729154835,0.4532217876091921,55.031307,55.591095,11.017827,12.1245985,26.8107385,10.055387188193814,41.744446,0.0,0.8344345811706915,-0.45753841725660255,196.83647165892353,0.40758666196220333,0.0020706866899568585,-0.9250702095813143,0.37979613919204525,route_07
111265586,2026-01-10 16:00:00,2026-01-10 19:00:00,4,3.0,57.780388,11.867834,57.71956,11.92305,57.69418925,11.801601999999999,0.08468941143193671,0.09616148156356588,57.553577,57.780388,11.696809,11.92305,25.724159,6.4434297495721555,34.65,0.0,0.5093060608742043,-0.43265170613451565,15.361514,84.10072,5.08871,0.0,52.65030233476799,7.515485265924028,0.14274343987880816,0.43630142070828026,-0.899800572509229,4,3.0,57.780388,11.867834,57.71956,11.92305,57.69418925,11.801601999999999,0.08468941143193671,0.09616148156356588,57.553577,57.780388,11.696809,11.92305,25.724159,6.4434297495721555,34.65,0.0,0.5093060608742043,-0.43265170613451565,52.65030233476799,7.515485265924028,0.14274343987880816,0.43630142070828026,-0.899800572509229,route_01
200000000,2026-01-06 04:00:00,2026-01-06 11:00:00,8,7.0,57.13732,8.610763,57.125473,8.5977335,57.138153375,8.664652875,0.018396070898003745,0.03804116047351682,57.116432,57.175133,8.5977335,8.710506,4.35729035,0.5311478762916101,4.939706,0.0,0.09163056376633125,-0.44708702564364416,2.0,8.0,4.936983,0.0,25.9530970225849,1.5341481311067284,0.059112333675309825,-0.5126096247696293,-0.8586217866986254,7,6.0,57.13732,8.610763,57.12204,8.659237,57.13996485714285,8.674212785714285,0.01898706782770521,0.030376431467571616,57.116432,57.175133,8.610763,8.710506,4.318384742857143,0.557056080910051,4.939706,0.0,0.1088663660919902,-0.3681596250807643,22.221194947430735,3.383015529694147,0.15224273661688473,0.8649109523843292,-0.5019253375210625,route_10
203247191,2026-01-09 06:00:00,2026-01-09 10:00:00,5,4.0,54.793808,9.434005,54.79381,9.434045,54.7938168,9.4340178,7.3047929479944665e-06,1.3962807740237548e-05,54.793808,54.793827,9.434005,9.434045,1.1400000000000001,0.33823069050575527,1.6,0.6,-0.2528131794243569,0.11562499953107278,5.0,18.0,5.191768,0.0,0.006530457034115412,0.0025738757789883866,0.3941340959051318,0.9962602577974161,0.08640311761404261,5,4.0,54.793808,9.434005,54.79381,9.434045,54.7938168,9.4340178,7.3047929479944665e-06,1.3962807740237548e-05,54.793808,54.793827,9.434005,9.434045,1.1400000000000001,0.33823069050575527,1.6,0.6,-0.2528131794243569,0.11562499953107278,0.006530457034115412,0.0025738757789883866,0.3941340959051318,0.9962602577974161,0.08640311761404261,route_08
205011000,2026-01-01 00:00:00,2026-01-01 04:00:00,5,4.0,54.613773,12.868269,54.54904,13.746574,54.6343402,13.348201,0.05177076547782513,0.3207058610134843,54.54904,54.702282,12.868269,13.746574,8.898351600000002,1.4181342701824255,10.217296,0.0,0.8097364476195734,-0.1679632990488196,12.0,89.0,3.7,0.0,64.44094892819236,57.055752496723514,0.8853959081251536,0.9927793219625826,-0.1199550661019155,5,4.0,54.613773,12.868269,54.54904,13.746574,54.6343402,13.348201,0.05177076547782513,0.3207058610134843,54.54904,54.702282,12.868269,13.746574,8.898351600000002,1.4181342701824255,10.217296,0.0,0.8097364476195734,-0.1679632990488196,64.44094892819236,57.055752496723514,0.8853959081251536,0.9927793219625826,-0.1199550661019155,route_04
205125000,2026-01-07 02:00:00,2026-01-07 23:00:00,22,21.0,57.360855,7.3646054,58.483707,10.211745,57.890216863636375,9.207625986363638,0.4217523868899741,0.9975075099325215,57.360554,58.51708,7.3646054,10.311221,6.8065519727272745,2.196848435582147,8.732486,0.0,0.5213187480937225,0.27658593727125064,32.0,180.0,6.4,0.0,250.11275045303873,209.3911508764161,0.8371870306377343,0.7901727006351786,0.6128842494067769,7,6.0,57.360855,7.3646054,57.53103,8.459685,57.41407414285714,7.9454751,0.0617963369428234,0.3611214698056161,57.360554,57.53103,7.3646054,8.459685,6.869281585714285,1.1388256241852959,8.554348,0.0,0.9197600400778757,0.29592656972302317,70.48898460949239,68.19927514058531,0.9675167761091747,0.9584742798304772,0.2851789874858387,route_10
205168000,2026-01-06 15:00:00,2026-01-09 12:00:00,70,69.0,54.160587,12.112236,55.561825,15.892702,54.453680714285724,12.57825047142857,0.43736400307184914,1.147088671038764,54.160587,55.561825,11.980832,15.892702,2.7469093725857148,3.814520290304634,10.00838,0.6714285714285714,0.15330361205787185,-0.4800396167124987,13.0,88.0,3.2,0.0,314.0328795299945,287.71637698522,0.9161982573794127,0.8259317716176312,0.5637700849039093,7,6.0,54.160587,12.112236,54.215122,11.985608,54.20689214285714,12.009320285714285,0.018942271024115068,0.04430366007683864,54.160587,54.21524,11.985189,12.112236,1.7305309505714288,2.5739531076430757,5.8884816,0.7142857142857143,-0.692328867152379,-0.5383129145966159,10.702698242658741,10.229918152881154,0.9558260843145906,-0.8048379849624044,0.5934945812403483,route_04
205196000,2026-01-01 00:00:00,2026-01-10 23:00:00,240,239.0,54.63524,11.384894,54.638573,11.382236,54.63695442499999,11.381152675000001,0.0013921618240618477,0.005008054318482866,54.635227,54.63858,11.375435,11.387038,0.011279971807583333,0.05056200721951069,0.6479784,1.0,0.10012216119075688,-0.26049715092850756,34.0,83.0,5.0,0.0,2.029388005117777,0.40818377770790726,0.20113639022135546,-0.41904678429576586,0.907964642798043,7,6.0,54.63524,11.384894,54.635246,11.384897,54.63524542857142,11.384896142857142,3.8119040169145377e-06,2.8996833043798176e-06,54.63524,54.63525,11.384892,11.384902,0.019257836485714292,0.009507864092231737,0.03324176,1.0,0.9313339481992825,-0.12444153353203798,0.004191639882782026,0.0006945454526838042,0.16569778704911756,0.2779837396037475,0.9605857798842933,route_04
205198000,2026-01-01 00:00:00,2026-01-04 21:00:00,94,93.0,56.69831,8.217708,56.710346,7.496229,57.026120414893626,8.107425065957445,0.24033654182728417,0.14118150648063882,56.698296,57.29656,7.496229,8.282149,3.4869384697434045,2.5537207595703846,9.991931,0.26595744680851063,0.07457647822387484,-0.2339206005614361,8.0,38.0,4.8425827,0.0,393.02184325437867,44.06037095381966,0.11210667221186002,-0.999364892398834,0.03563441932552017,7,6.0,56.69831,8.217708,56.698296,8.217687,56.698309714285706,8.217700142857144,8.429781995178915e-06,1.019003114310534e-05,56.698296,56.698322,8.217687,8.217717,0.0005595592685714286,0.0005819342281245832,0.0014450867,1.0,0.6306758074312863,0.7760464070665459,0.009576833103430101,0.002016714848671663,0.21058264531615814,-0.635726665281317,-0.7719142485084054,route_10
205210000,2026-01-01 00:00:00,2026-01-10 23:00:00,240,239.0,54.638515,11.37491,54.63652,11.387715,54.61944315,11.356951149999997,0.01857119306217255,0.025491556412949427,54.59956,54.63854,11.330106,11.387722,0.041997728010416666,0.28294930944174573,3.0958016,0.9875,-0.2701233854972564,-0.369414723256959,35.0,94.0,3.9,0.0,11.51970839247235,0.8533877110606236,0.07408066957825747,0.9656470089865988,-0.2598573724858226,7,6.0,54.638515,11.37491,54.638523,11.374926,54.63852142857143,11.374913857142857,7.499659858721165e-06,6.423807758800205e-06,54.63851,54.63853,11.374904,11.374926,0.0,0.0,0.0,1.0,-0.2356116127037522,-0.9654612666949391,0.008078980970088754,0.001360686958470074,0.16842309240581438,0.7567032005466451,0.6537585688023246,route_04
205214000,2026-01-01 00:00:00,2026-01-10 23:00:00,240,239.0,54.637646,11.38715,54.637627,11.387193,54.63905847916667,11.38097718125,0.00086330389081687,0.0037471534745644503,54.63759,54.639606,11.378673,11.387203,0.0037227011758333337,0.03353017042023878,0.38333333,1.0,-0.012653902597316958,0.056489192556059525,48.0,130.0,3.9,0.0,1.4262379280390167,0.0034815178445041545,0.00244104982489914,0.794828096303371,-0.6068346540259208,7,6.0,54.637646,11.38715,54.637646,11.3871565,54.63764585714286,11.387154357142858,4.421653584048234e-06,4.525438303126984e-06,54.63764,54.637653,11.387147,11.387161,0.0,0.0,0.0,1.0,0.0697564737441253,0.9975640502598243,0.004681033138593924,0.0004182987184834917,0.08936034121073091,0.9999999999999989,4.6501246470268735e-08,route_04
205436000,2026-01-04 09:00:00,2026-01-04 13:00:00,5,4.0,53.85323,9.31517,53.991264,8.36437,53.901378799999996,8.883531399999999,0.05557600381243767,0.3429754674308938,53.84694,53.991264,8.36437,9.31517,11.8446094,1.7656084854671037,15.0,0.0,-0.8674918383475589,0.30148929019655835,36.0,227.0,7.9,0.0,66.54918116898224,64.12268417725129,0.9635382892905988,-0.9693045759249649,0.24586304946234605,5,4.0,53.85323,9.31517,53.991264,8.36437,53.901378799999996,8.883531399999999,0.05557600381243767,0.3429754674308938,53.84694,53.991264,8.36437,9.31517,11.8446094,1.7656084854671037,15.0,0.0,-0.8674918383475589,0.30148929019655835,66.54918116898224,64.12268417725129,0.9635382892905988,-0.9693045759249649,0.24586304946234605,route_08
205443000,2026-01-08 08:00:00,2026-01-08 11:00:00,4,3.0,56.141994,5.63021,56.629253,5.1175303,56.425211250000004,5.331019525,0.18245436110350396,0.19234149920136018,56.141994,56.629253,5.1175303,5.63021,12.312242,0.14638191995598365,12.53,0.0,-0.4696793148693323,0.8783585642400529,36.0,227.0,8.1,0.0,62.70426813761051,62.70168516914279,0.9999588071347544,-0.5001028865623951,0.8659659940505517,4,3.0,56.141994,5.63021,56.629253,5.1175303,56.425211250000004,5.331019525,0.18245436110350396,0.19234149920136018,56.141994,56.629253,5.1175303,5.63021,12.312242,0.14638191995598365,12.53,0.0,-0.4696793148693323,0.8783585642400529,62.70426813761051,62.70168516914279,0.9999588071347544,-0.5001028865623951,0.8659659940505517,route_02
205453000,2026-01-08 01:00:00,2026-01-08 13:00:00,13,12.0,55.087166,7.4282722,55.033596,7.3397026,55.32605023076923,8.076493115384615,0.15310694322001647,0.42328989209063134,55.033596,55.45617,7.3397026,8.480174,9.371549230769231,6.94193410585466,15.436974,0.23076923076923078,-0.23644465455285008,0.18738753930617563,25.0,162.0,5.8,0.0,167.25440697697422,8.203426846062758,0.0490475975750649,-0.6880219361034948,-0.7256898893056168,7,6.0,55.087166,7.4282722,55.451225,8.480168,55.34577957142857,8.129301928571428,0.1397219002895764,0.4013054093078335,55.087166,55.45617,7.4282722,8.480174,8.363308785714285,6.942531366969924,15.092424,0.2857142857142857,0.22928382460023214,0.42472680051213807,79.65966682545516,77.96900623570663,0.9787764541690466,0.8507230575650956,0.5256141924711462,route_03
205465000,2026-01-01 00:00:00,2026-01-01 09:00:00,10,9.0,54.470253,11.677559,54.365623,10.13938,54.5077995,10.7929051,0.0830741219372794,0.5326594573346933,54.364185,54.605267,10.13938,11.677559,6.576849640000001,2.366015668817898,8.087992,0.0,-0.9270521861649159,-0.0032956531591099513,12.0,87.0,3.2,0.0,112.2469917030477,100.19724491275944,0.8926497128567492,-0.9944452447443554,-0.10525519087123082,7,6.0,54.470253,11.677559,54.533115,10.417467,54.55256714285714,11.052177142857143,0.04372646854326591,0.42405098718750056,54.470253,54.605267,10.417467,11.677559,7.728061614285714,0.23418762812363222,8.087992,0.0,-0.9497551833116812,0.061101601339452916,85.10804425869121,81.66103504755445,0.9594984323613481,-0.9955240354306193,0.09450870266771715,route_04
205597000,2026-01-10 17:00:00,2026-01-10 23:00:00,7,6.0,53.864998,8.788894,53.88121,9.184657,53.86732642857144,9.055508714285715,0.015721726448791527,0.17157659884704057,53.836582,53.88121,8.788894,9.20273,5.649635242857143,3.9886294517399263,12.92353,0.0,0.12783998605256822,-0.4307606516174487,26.0,116.0,8.5,0.0,76.18736341854911,26.0079091946061,0.34136775480373205,0.9973977287625497,0.07209556615567425,7,6.0,53.864998,8.788894,53.88121,9.184657,53.86732642857144,9.055508714285715,0.015721726448791527,0.17157659884704057,53.836582,53.88121,8.788894,9.20273,5.649635242857143,3.9886294517399263,12.92353,0.0,0.12783998605256822,-0.4307606516174487,76.18736341854911,26.0079091946061,0.34136775480373205,0.9973977287625497,0.07209556615567425,route_08
205743000,2026-01-09 11:00:00,2026-01-10 23:00:00,37,36.0,57.753586,8.506908,57.938942,11.343002,57.92403913513514,10.987032405405406,0.04347451702491161,0.7796480696573922,57.753586,57.941692,8.506908,11.343498,2.9145447891081084,5.162974111292023,12.85226,0.7567567567567568,0.3935660797456901,-0.49189101454947676,30.0,180.0,10.0,0.0,170.53902114390795,169.08017267127266,0.9914456617444506,0.9897753025024623,0.1426353762436209,7,6.0,57.753586,8.506908,57.922092,10.659615,57.853930857142856,9.520783857142858,0.06239485112326072,0.7410530069360144,57.753586,57.922092,8.506908,10.659615,12.62435292857143,0.19098916548897055,12.85226,0.0,0.9851877315294295,0.14695764742629347,129.13524392663908,128.78557723065757,0.9972922442754656,0.9869246369352704,0.16118238430481366,route_01
209014000,2026-01-07 08:00:00,2026-01-10 23:00:00,88,87.0,57.865185,8.827892,55.473797,10.537917,56.01582626136364,10.515955642045455,0.8727345160217879,0.38529144799171294,55.473766,57.865185,8.827892,11.075828,2.4712625103863632,3.3640406348899576,8.208271,0.6477272727272727,0.29299364843223424,0.04159497068690097,12.0,88.0,4.4,0.0,386.2042302584562,285.6767724612558,0.7397038926012662,0.37732105614582256,-0.9260825128405141,7,6.0,57.865185,8.827892,57.81186,10.019212,57.84091585714285,9.381699428571427,0.019186357797949458,0.40702415615497994,57.81186,57.865185,8.827892,10.019212,6.594288714285715,0.7792244754859934,7.262817,0.0,0.9965868741803642,-0.07857688678192366,70.79551743629493,70.76209884263986,0.9995279560787851,0.9971822378389338,-0.07501722827814955,route_07
209056000,2026-01-08 16:00:00,2026-01-09 17:00:00,26,25.0,54.014023,9.296893,55.771435,15.821243,54.730149423076924,12.08192675,0.5064166143097358,2.1631559953763215,54.014023,55.771435,9.296893,15.821243,11.339951049999998,3.0857108471425603,14.529369,0.0,0.7729337606468236,0.38826664285698437,24.0,158.0,7.7,0.0,497.37898855625826,460.4820927061143,0.9258173411039244,0.8850513668849326,0.4654933704953405,7,6.0,54.014023,9.296893,54.35796,10.027308,54.2226,9.596986571428573,0.12079531679308907,0.2428470588179533,54.014023,54.35796,9.296893,10.027308,6.8479004,0.08598041135713913,6.935849,0.0,0.5342813396063809,0.4633976817820673,67.37779659910848,61.00180769518379,0.9053695842584284,0.7758306125531941,0.630941249741476,route_04
